Imagem,Filtro,Tempo Serial (ms),Tempo Paralelo (ms),Speedup,Threads,Efici̻ncia
01,sharpen,352.74,33.53,10.52,8,1.31
01,sharpen,372.73,44.68,8.34,8,1.04
01,sharpen,221.38,48.14,4.60,8,0.57
02,sharpen,1764.28,48.54,36.35,8,4.54
02,sharpen,396.78,147.76,2.69,8,0.34
02,sharpen,299.61,43.52,6.88,8,0.86
03,sharpen,173.04,70.34,2.46,8,0.31
03,sharpen,212.47,34.34,6.19,8,0.77
03,sharpen,252.64,21.45,11.78,8,1.47
04,sharpen,259.58,27.79,9.34,8,1.17
04,sharpen,253.75,90.52,2.80,8,0.35
04,sharpen,281.30,54.25,5.19,8,0.65
01,gaussian,202.16,33.93,5.96,8,0.74
01,gaussian,538.37,142.07,3.79,8,0.47
01,gaussian,246.58,34.54,7.14,8,0.89
02,gaussian,248.66,32.71,7.60,8,0.95
02,gaussian,209.80,66.65,3.15,8,0.39
02,gaussian,714.77,138.31,5.17,8,0.65
03,gaussian,162.58,21.96,7.40,8,0.93
03,gaussian,252.33,17.92,14.08,8,1.76
03,gaussian,195.79,93.32,2.10,8,0.26
04,gaussian,171.52,41.87,4.10,8,0.51
04,gaussian,290.22,30.52,9.51,8,1.19
04,gaussian,182.35,23.73,7.68,8,0.96
01,sobelX,307.68,145.38,2.12,8,0.26
02,sobelX,332.59,51.23,6.49,8,0.81
03,sobelX,139.40,28.19,4.94,8,0.62
04,sobelX,244.32,23.54,10.38,8,1.30
01,sobelY,275.31,70.77,3.89,8,0.49
02,sobelY,321.90,36.39,8.84,8,1.11
03,sobelY,80.86,23.66,3.42,8,0.43
04,sobelY,321.79,58.16,5.53,8,0.69
